"Loan.Amount","Loan.Term","Employment.Length","Home.Ownership","Annual.Income","Loan.Purpose","Address.State","Debt.To.Income.Ratio","No..Delinquencies.In.Last.2.Years","Earliest.Credit.Line.Opened","FICO.Credit.Score","No..Inquiries.In.Last.6.Months","Months.Since.Last.Delinquency","No..Of.Credit.Lines","No..Adverse.Public.Records","Total.Credit.Balance","Use.Of.Credit.Line","Total.Number.Of.Credit.Lines","Loan.Application.Description","No..Of.Public.Record.Bankruptcies","Class"
6600,"60 Months",8,"MORTGAGE",55800,"Car","MI",7.23,"None",35791.41806,790,2,0,8,"None",561,5.6,25,0,"None","0"
7000,"36 Months",4,"MORTGAGE",85280,"Other","MA",17.58,"One",34031.10833,705,0,5,7,"None",2805,14.6,42,446,"None","0"
12000,"36 Months",9,"MORTGAGE",58608,"Debt Consolidation","FL",8.8,"None",35556.14236,745,0,0,13,"None",25904,43.4,33,300,"None","0"
9000,"36 Months",10,"MORTGAGE",72000,"Debt Consolidation","MD",17.92,"None",30962.46597,775,0,0,21,"None",15431,34.1,79,211,"None","0"
12000,"36 Months",2,"MORTGAGE",170000,"Other","CA",10.05,"None",36150.4625,690,0,0,8,"None",22215,90.3,14,1,"None","0"
20000,"36 Months",1,"RENT",125000,"Debt Consolidation","NY",4.52,"None",37317.34306,735,0,0,8,"None",20699,68.5,18,282,"None","0"
8500,"36 Months",1,"MORTGAGE",65000,"Credit Card","VA",20.05,"None",37307.44861,755,3,0,11,"None",4384,19.2,30,169,"None","0"
5400,"36 Months",1,"MORTGAGE",98406,"Credit Card","CO",19.36,"None",33737.32708,730,2,0,9,"None",36976,53.1,26,1000,"None","0"
10000,"36 Months",4,"RENT",66000,"Debt Consolidation","CA",19.42,"None",38905.27986,730,2,0,5,"None",9333,38.1,19,270,"None","0"
14800,"60 Months",3,"RENT",51000,"Debt Consolidation","NY",14.49,"None",37957.14028,695,0,0,8,"None",7860,86.4,16,188,"None","0"
6000,"36 Months",2,"RENT",40000,"Credit Card","CA",24.1,"None",35397.32986,715,0,61,8,"None",4136,52.4,22,1000,"None","0"
20000,"36 Months",10,"MORTGAGE",2e+05,"Home Improvement","GA",23.77,"None",34702.50486,695,0,0,16,"None",50000,76,33,1000,"None","0"
7000,"36 Months",2,"OWN",45000,"Medical","IA",9.92,"None",36993.21042,685,1,70,16,"One",1767,34.6,26,364,"None","0"
